"","region","region_code","geography","year","P","G","E","F","g","e","f","ef"
"1","Algeria","DZA","nation",2015,0.039728025,0.18979775265984,2.10693563118889,128.967430760903,4.77742733649206,11.1009514162425,61.210902151828,679.499250931815
"2","Algeria","DZA","nation",2020,0.0446041633949646,0.221880332722529,2.24616045263309,141.23139452992,4.97443099106703,10.1232967567342,62.8768057795513,636.520564021939
"3","Algeria","DZA","nation",2025,0.0497511983674272,0.271150996160751,2.3668219645514,148.837113237092,5.45013999779907,8.72879686249885,62.8847946597883,548.908598325245
"4","Algeria","DZA","nation",2030,0.0551969141817467,0.330190128205485,2.58958167886212,155.154600455921,5.98203963211184,7.84269866860031,59.9149282381768,469.894727922832
"5","Algeria","DZA","nation",2035,0.0609829872344611,0.403087497891423,2.87731297651347,164.017633095715,6.60983523718958,7.13818461640432,57.0037512201611,406.903300037093
"6","Algeria","DZA","nation",2040,0.0670920523603462,0.492226501024257,3.17432592892776,179.301211473405,7.33658434505099,6.448913096557,56.4848145678508,364.265660423207
"7","Algeria","DZA","nation",2045,0.0734268646341463,0.599306602439349,3.480620536105,196.398619786682,8.16195278697285,5.80774602171557,56.4263233378672,327.709754885535
"8","Algeria","DZA","nation",2050,0.0798971251966955,0.727516025801412,3.81476010757108,216.433195893378,9.10565960928343,5.2435409974218,56.7357290603482,297.496121346551
"9","Argentina","ARG","nation",2015,0.043131966,0.455825423287839,3.39868574901776,186.0218180161,10.5681578087083,7.45611274707599,54.7334563278941,408.098821417938
"10","Argentina","ARG","nation",2020,0.0453514230485786,0.508084291699492,3.39868574901776,188.258223066913,11.2032711995664,6.68921634567661,55.3914768734712,370.525572513191
"11","Argentina","ARG","nation",2025,0.0473846319532206,0.593657515978099,3.56652208230259,198.027781973099,12.5284821577632,6.00770980963066,55.524058845936,333.57243299924
"12","Argentina","ARG","nation",2030,0.0492005513566031,0.675449910693453,3.75533795724802,204.642832702348,13.7285028738362,5.5597578707096,54.4938524926566,302.972625301336
"13","Argentina","ARG","nation",2035,0.0507836605800648,0.76415812888038,4.00709245717527,214.624261560717,15.047322704822,5.24380007976402,53.5610954462509,280.863676573299
"14","Argentina","ARG","nation",2040,0.0521184389449442,0.861854226598457,4.27982649876311,231.879892110679,16.536455121169,4.96583571406804,54.1797412062599,269.047693861009
"15","Argentina","ARG","nation",2045,0.0532048864512415,0.968941851132016,4.61549916533277,249.653426988198,18.2115199516492,4.7634428835337,54.0902333735334,257.655737231834
"16","Argentina","ARG","nation",2050,0.0540430030989565,1.08098088235339,4.95117183190242,269.145462588974,20.0022356339829,4.58025846037468,54.359951891542,248.982629556796
"17","Australia","AUS","nation",2015,0.023815995,1.31178243523401,5.53239588766753,411.330296878906,55.0798921159502,4.21746452694391,74.3493967587927,313.565943429886
"18","Australia","AUS","nation",2020,0.0256939587634409,1.49399255967063,5.77293483930525,405.799805492299,58.1456743752691,3.86409878813452,70.2935017955504,271.621035101918
"19","Australia","AUS","nation",2025,0.027657284516129,1.69751126667859,6.25401274258069,424.366455147337,61.3766425871868,3.68422458533517,67.8550672367553,249.993306953225
"20","Australia","AUS","nation",2030,0.0294498862903226,1.92396931512815,6.73509064585613,448.068561089939,65.3302799257456,3.50062269335492,66.5274729992863,232.887581712858
"21","Australia","AUS","nation",2035,0.0312424880645161,2.18673892775542,7.29634819967747,473.153289879193,69.9924706137288,3.3366343403265,64.8479591338731,216.37392734617
"22","Australia","AUS","nation",2040,0.0329497278494624,2.48103654520764,7.93778540404472,503.768510055054,75.2976339149981,3.19938270130576,63.4646169444638,203.047597597114
"23","Australia","AUS","nation",2045,0.0346569676344086,2.80707960200084,8.65940225895788,539.716704068001,80.9961111316005,3.08484385436936,62.3272470694707,192.269825082017
"24","Australia","AUS","nation",2050,0.0362788454301075,3.17226087168019,9.54137841496285,584.158152710379,87.4410647326598,3.00775339762938,61.2236646849997,184.14568547163
"25","Austria","AUT","nation",2015,0.008642699,0.413029270083549,1.31396848076048,60.9474242798284,47.7893850154389,3.18129628075678,46.3842361306521,147.561997888188
"26","Austria","AUT","nation",2020,0.00884005555541894,0.446859658276792,1.3254945200654,61.9679539865357,50.5494174188609,2.96624341784813,46.7508186932967,138.674308228003
"27","Austria","AUT","nation",2025,0.00894936072457404,0.482786048305642,1.3337274052832,60.252326646777,53.9464284839877,2.76256410052438,45.1758930708808,124.801300406744
"28","Austria","AUT","nation",2030,0.00903437585613912,0.516441073795507,1.36665894615439,60.0011436384697,57.1640013675732,2.64630180576136,43.9035238508523,116.181974445797
"29","Austria","AUT","nation",2035,0.00910269158686106,0.550104449890295,1.39629733293846,61.6520005169669,60.4331636023264,2.53824038910595,44.1539198440081,112.073262685408
"30","Austria","AUT","nation",2040,0.00914823540734235,0.584026694737688,1.43581518198389,63.0042813667215,63.8403657899915,2.45847526306785,43.8804953153286,107.8791122639
"31","Austria","AUT","nation",2045,0.00916797106288424,0.617049161904655,1.46216041468084,64.7214884738281,67.3048766921535,2.36960116786734,44.2642871630167,104.8887065563
"32","Austria","AUT","nation",2050,0.00915886229878799,0.656123729989378,1.50497141781338,67.3075676222491,71.6381258484696,2.29373111964377,44.7234856593105,102.583650835703
"33","Azerbaijan","AZE","nation",2015,0.009649341,0.0585108810891125,0.583472721783469,33.6152511307341,6.0637178320377,9.97203786582594,57.6123782239283,574.512817189299
"34","Azerbaijan","AZE","nation",2020,0.00962427777662338,0.0659010834096,0.590140981460994,33.7674461653811,6.84737961010109,8.95495113172945,57.2192869605227,512.395918523885
"35","Azerbaijan","AZE","nation",2025,0.00958417661922078,0.0748641438843346,0.586806851622231,33.0660255709209,7.81122331721192,7.83828974961432,56.3490788826164,441.680407405821
"36","Azerbaijan","AZE","nation",2030,0.00949896165974026,0.0838718244485515,0.590140981460994,32.5234171865272,8.82957816368793,7.03622444534991,55.1112669823572,387.775243955467
"37","Azerbaijan","AZE","nation",2035,0.00939369612155844,0.094402165566348,0.600143370977282,33.1222715619861,10.0495230359534,6.35730512511906,55.190598053344,350.86347186291
"38","Azerbaijan","AZE","nation",2040,0.00928843058337662,0.10565758313823,0.613479890332333,33.4035015173121,11.3751814356371,5.80630251147925,54.4492200049408,316.148642862774
"39","Azerbaijan","AZE","nation",2045,0.00918316504519481,0.117306215248674,0.626816409687384,33.6648799463799,12.7740506319284,5.34342028134327,53.7077195588574,286.982917955495
"40","Azerbaijan","AZE","nation",2050,0.00907288686233766,0.130259984976472,0.650155318558722,34.1876368045153,14.3570604321313,4.99121290913826,52.5837993301403,262.456938028132
"41","Bangladesh","BGD","nation",2015,0.156256276,0.15662953035674,1.2557851439927,79.5959086663859,1.00238873193637,8.01755033761846,63.3833813428585,508.179450484835
"42","Bangladesh","BGD","nation",2020,0.166421879116002,0.193495368579178,1.37290500198166,89.2983824174354,1.16267986881884,7.09528611492252,65.0433804877552,461.501394442392
"43","Bangladesh","BGD","nation",2025,0.175894057735688,0.240178578531096,1.55834477713084,101.958312663436,1.36547295356621,6.48827546012427,65.4273137496295,424.510434223572
"44","Bangladesh","BGD","nation",2030,0.184464784510162,0.290839843559963,1.78282450494301,110.353456213876,1.57666865430318,6.1299183877997,61.8981037718034,379.430324480712
"45","Bangladesh","BGD","nation",2035,0.192134059439425,0.346892007926429,1.99429091520085,124.256862486163,1.80546858239778,5.74902525751993,62.3062871816016,358.200418709318
"46","Bangladesh","BGD","nation",2040,0.198901882523476,0.410179847275377,2.24805060751025,139.988514591692,2.06222204672681,5.48064616641443,62.2710690426723,341.28569582725
"47","Bangladesh","BGD","nation",2045,0.204712779802609,0.479092686177808,2.51807694676257,156.741833486386,2.3403164503934,5.25592859046073,62.246641703267,327.163903788366
"48","Bangladesh","BGD","nation",2050,0.209469671847342,0.555579161641989,2.81087659173496,175.451106562968,2.65231313317226,5.05936288795919,62.4186444466687,315.798573230196
"49","Belarus","BLR","nation",2015,0.009489616,0.0605894629355585,0.917864870646758,52.9646777828607,6.38481714492541,15.1489190723307,57.7042214782009,874.156581305113
"50","Belarus","BLR","nation",2020,0.00946496764675325,0.0682422000205034,0.928354754882721,53.2044784893579,7.20997710371598,13.6038221892582,57.3105035650722,779.64190007609
"51","Belarus","BLR","nation",2025,0.00942553028155844,0.0775236705831499,0.92310981276474,52.099310015936,8.22486038104712,11.9074575006692,56.4389082376853,672.043901224409
"52","Belarus","BLR","nation",2030,0.00934172588051948,0.0868513463508375,0.928354754882721,51.2443683666851,9.29714139139436,10.6890082179338,55.1991230692396,590.023880109844
